iter	Passed	Remaining
584	58616	241979
585	58727	241925
586	58841	241879
587	58959	241853
588	59083	241851
589	59176	241722
590	59276	241620
591	59395	241595
592	59511	241559
593	59624	241510
594	59723	241402
595	59839	241366
596	59934	241245
597	60052	241214
598	60165	241164
599	60286	241144
600	60407	241128
601	60502	241005
602	60621	240979
603	60736	240936
604	60835	240829
605	60952	240794
606	61086	240825
607	61200	240775
608	61297	240661
609	61428	240679
610	61541	240624
611	61673	240646
612	61805	240668
613	61920	240624
614	62019	240515
615	62152	240536
616	62268	240494
617	62400	240514
618	62536	240547
619	62667	240562
620	62766	240452
621	62870	240362
622	62974	240273
623	63072	240161
624	63173	240059
625	63308	240085
626	63440	240102
627	63540	239997
628	63674	240018
629	63775	239916
630	63885	239847
631	63986	239747
632	64088	239648
633	64191	239554
634	64293	239455
635	64413	239424
636	64570	239527
637	64671	239426
638	64769	239312
639	64869	239207
640	64979	239135
641	65079	239030
642	65179	238923
643	65286	238842
644	65382	238721
645	65478	238600
646	65616	238634
647	65712	238512
648	65812	238404
649	65912	238297
650	66013	238197
651	66112	238087
652	66212	237978
653	66330	237937
654	66445	237884
655	66562	237839
656	66662	237732
657	66761	237621
658	66876	237569
659	67017	237609
660	67120	237510
661	67222	237409
662	67300	237226
663	67395	237103
664	67495	236995
665	67610	236940
666	67709	236832
667	67847	236857
668	67986	236884
669	68104	236839
670	68220	236789
671	68318	236674
672	68435	236627
673	68553	236581
674	68668	236524
675	68746	236339
676	68844	236228
677	68964	236186
678	69081	236137
679	69158	235951
680	69256	235838
681	69372	235785
682	69450	235601
683	69551	235499
684	69670	235454
685	69789	235413
686	69909	235372
687	70026	235320
688	70142	235269
689	70241	235156
690	70338	235037
691	70414	234852
692	70531	234800
693	70612	234627
694	70732	234586
695	70846	234525
696	70922	234338
697	71037	234281
698	71149	234211
699	71263	234152
700	71340	233967
701	71473	233968
702	71551	233788
703	71681	233780
704	71797	233725
705	71893	233604
706	72008	233544
707	72120	233475
708	72196	233290
709	72312	233232
710	72449	233245
711	72567	233195
712	72680	233127
713	72801	233086
714	72916	233026
715	73037	232984
716	73153	232929
717	73269	232869
718	73346	232687
719	73422	232505
720	73500	232327
721	73629	232310
722	73728	232199
723	73843	232138
724	73958	232078
725	74074	232017
726	74176	231917
727	74283	231828
728	74400	231772
729	74528	231752
730	74645	231696
731	74761	231637
732	74902	231656
733	75016	231591
734	75147	231575
735	75261	231510
736	75375	231444
737	75489	231378
738	75603	231312
739	75731	231287
740	75844	231218
741	75977	231210
742	76118	231224
743	76234	231163
744	76331	231043
745	76407	230860
746	76520	230789
747	76631	230715
748	76746	230649
749	76874	230623
750	76988	230556
751	77086	230438
752	77186	230330
753	77306	230278
754	77422	230216
755	77542	230165
756	77673	230148
757	77787	230078
758	77902	230012
759	78015	229941
760	78117	229835
761	78233	229771
762	78357	229733
763	78484	229700
764	78598	229630
765	78715	229570
766	78814	229456
767	78927	229384
768	79042	229316
769	79187	229335
770	79306	229279
771	79423	229216
772	79552	229190
773	79681	229160
774	79785	229062
775	79905	229007
776	80018	228933
777	80130	228855
778	80247	228793
779	80361	228722
780	80489	228689
781	80603	228616
782	80717	228545
783	80837	228489
784	80952	228420
785	81068	228352
786	81181	228278
787	81280	228163
788	81379	228049
789	81495	227982
790	81632	227971
791	81763	227946
792	81901	227941
793	82040	227935
794	82155	227864
795	82252	227745
796	82388	227731
797	82507	227671
798	82643	227657
799	82776	227636
800	82894	227572
801	83028	227553
802	83150	227498
803	83265	227425
804	83399	227405
805	83535	227390
806	83655	227330
807	83787	227305
808	83921	227284
809	84021	227168
810	84156	227148
811	84272	227079
812	84385	226999
813	84523	226987
814	84655	226960
815	84784	226924
816	84919	226902
817	85056	226885
818	85186	226852
819	85297	226765
820	85433	226747
821	85552	226683
822	85667	226606
823	85766	226490
824	85879	226410
825	86017	226394
826	86129	226312
827	86267	226296
828	86382	226218
829	86476	226088
830	86571	225961
831	86686	225883
832	86781	225755
833	86917	225736
834	87027	225646
835	87125	225525
836	87220	225397
837	87351	225363
838	87490	225346
839	87588	225228
840	87704	225153
841	87818	225073
842	87934	224999
843	88049	224922
844	88164	224845
845	88260	224719
846	88372	224635
847	88465	224501
848	88580	224424
849	88718	224405
850	88829	224317
851	88923	224188
852	89034	224099
853	89132	223979
854	89251	223912
855	89377	223860
856	89494	223787
857	89629	223760
858	89760	223722
859	89856	223596
860	89953	223474
861	90050	223349
862	90189	223331
863	90309	223264
864	90404	223137
865	90530	223085
866	90643	223002
867	90774	222962
868	90893	222893
869	91029	222865
870	91108	222698
871	91217	222604
872	91352	222573
873	91490	222549
874	91626	222521
875	91737	222432
876	91875	222408
877	92011	222379
878	92108	222255
879	92244	222225
880	92358	222142
881	92451	222010
882	92549	221889
883	92661	221800
884	92756	221672
885	92910	221686
886	93005	221556
887	93140	221522
888	93254	221440
889	93368	221357
890	93483	221274
891	93602	221204
892	93699	221079
893	93808	220984
894	93903	220856
895	94039	220824
896	94146	220724
897	94281	220691
898	94418	220660
899	94554	220627
900	94691	220597
901	94787	220469
902	94867	220307
903	94962	220177
904	95100	220149
905	95238	220120
906	95366	220069
907	95490	220005
908	95571	219844
909	95667	219719
910	95781	219634
911	95894	219547
912	96050	219559
913	96151	219443
914	96247	219317
915	96342	219190
916	96438	219064
917	96551	218975
918	96651	218859
919	96731	218697
920	96825	218567
921	96943	218489
922	97093	218486
923	97234	218462
924	97369	218423
925	97501	218378
926	97602	218262
927	97718	218182
928	97834	218100
929	97957	218034
930	98074	217955
931	98189	217870
932	98320	217823
933	98456	217784
934	98551	217655
935	98741	217738
936	98857	217654
937	98986	217601
938	99118	217554
939	99219	217437
940	99334	217353
941	99449	217269
942	99549	217150
943	99681	217103
944	99782	216987
945	99897	216902
946	100048	216894
947	100185	216857
948	100298	216768
949	100414	216683
950	100509	216556
951	100641	216505
952	100754	216415
953	100895	216385
954	100988	216252
955	101105	216171
956	101237	216120
957	101336	216001
958	101472	215959
959	101599	215899
960	101715	215814
961	101814	215694
962	101931	215613
963	102063	215560
964	102200	215520
965	102330	215465
966	102456	215402
967	102571	215316
968	102689	215235
969	102819	215179
970	102933	215088
971	103058	215023
972	103193	214977
973	103327	214928
974	103448	214854
975	103541	214722
976	103661	214643
977	103761	214525
978	103862	214409
979	103996	214359
980	104131	214313
981	104245	214224
982	104359	214132
983	104474	214045
984	104571	213919
985	104688	213835
986	104801	213744
987	104903	213629
988	105023	213552
989	105147	213480
990	105264	213396
991	105385	213320
992	105497	213226
993	105612	213138
994	105751	213096
995	105868	213012
996	105962	212881
997	106084	212807
998	106202	212724
999	106319	212639
1000	106437	212555
1001	106570	212503
1002	106690	212424
1003	106803	212330
1004	106935	212275
1005	107066	212217
1006	107200	212166
1007	107301	212047
1008	107417	211961
1009	107552	211910
1010	107669	211824
1011	107785	211735
1012	107888	211623
1013	108000	211528
1014	108111	211429
1015	108223	211334
1016	108327	211222
1017	108441	211131
1018	108565	211058
1019	108681	210970
1020	108783	210855
1021	108902	210771
1022	109025	210697
1023	109145	210615
1024	109300	210603
1025	109432	210545
1026	109532	210425
1027	109626	210295
1028	109782	210283
1029	109900	210198
1030	109994	210066
1031	110113	209984
1032	110225	209887
1033	110381	209874
1034	110494	209779
1035	110605	209680
1036	110701	209553
1037	110831	209491
1038	110967	209439
1039	111087	209356
1040	111199	209259
1041	111311	209162
1042	111422	209063
1043	111539	208976
1044	111639	208856
1045	111772	208799
1046	111905	208740
1047	112008	208627
1048	112115	208519
1049	112222	208412
1050	112345	208337
1051	112459	208242
1052	112590	208180
1053	112748	208167
1054	112870	208088
1055	112983	207992
1056	113085	207876
1057	113219	207818
1058	113324	207707
1059	113445	207626
1060	113567	207547
1061	113684	207458
1062	113797	207362
1063	113957	207351
1064	114079	207270
1065	114181	207154
1066	114283	207038
1067	114383	206918
1068	114494	206818
1069	114625	206755
1070	114746	206673
1071	114846	206551
1072	114971	206477
1073	115104	206417
1074	115217	206319
1075	115314	206194
1076	115454	206146
1077	115571	206055
1078	115678	205948
1079	115782	205835
1080	115895	205739
1081	116051	205717
1082	116182	205652
1083	116294	205553
1084	116427	205490
1085	116557	205424
1086	116662	205313
1087	116756	205182
1088	116912	205159
1089	117018	205050
1090	117131	204953
1091	117235	204840
1092	117350	204745
1093	117463	204649
1094	117563	204528
1095	117678	204434
1096	117772	204303
1097	117904	204239
1098	118017	204140
1099	118127	204038
1100	118246	203950
1101	118386	203899
1102	118500	203804
1103	118615	203709
1104	118743	203636
1105	118847	203524
1106	118963	203429
1107	119077	203334
1108	119211	203271
1109	119323	203172
1110	119443	203086
1111	119559	202993
1112	119694	202931
1113	119820	202855
1114	119919	202733
1115	120020	202615
1116	120146	202538
1117	120260	202441
1118	120373	202343
1119	120472	202221
1120	120566	202092
1121	120679	201992
1122	120796	201900
1123	120928	201835
1124	121027	201712
1125	121154	201637
1126	121267	201538
1127	121366	201416
1128	121511	201370
1129	121638	201296
1130	121758	201207
1131	121888	201137
1132	122022	201073
1133	122156	201008
1134	122273	200915
1135	122395	200832
1136	122509	200734
1137	122634	200654
1138	122781	200612
1139	122897	200516
1140	122996	200394
1141	123150	200361
1142	123286	200300
1143	123385	200177
1144	123509	200096
1145	123644	200032
1146	123758	199933
1147	123858	199813
1148	123972	199716
1149	124085	199616
1150	124197	199514
1151	124325	199439
1152	124427	199322
1153	124571	199270
1154	124674	199156
1155	124781	199046
1156	124878	198920
1157	124992	198822
1158	125137	198773
1159	125251	198674
1160	125354	198558
1161	125452	198435
1162	125585	198366
1163	125734	198323
1164	125833	198201
1165	125963	198128
1166	126109	198079
1167	126206	197953
1168	126352	197904
1169	126483	197833
1170	126627	197780
1171	126758	197708
1172	126854	197581
1173	126992	197519
1174	127104	197417
1175	127257	197379
1176	127379	197292
1177	127512	197222
1178	127666	197184
1179	127818	197143
1180	127955	197080
1181	128089	197010
1182	128243	196972
1183	128354	196867
1184	128471	196772
1185	128618	196722
1186	128729	196618
1187	128866	196553
